mvid,llid,dt,warning,lat,lng,spd_knots,spd_ms,bearing,mag_var
689,138,2022-08-30 13:41:14 Z,A,52.47835166666667,13.419482,0.932,0.47946180800000004,,
690,139,2022-08-30 13:41:15 Z,A,52.47835383333334,13.41948,0.331,0.170280964,,
691,139,2022-08-30 13:41:16 Z,A,52.478361666666665,13.4194835,0.208,0.107004352,,
692,139,2022-08-30 13:41:17 Z,A,52.47836216666666,13.419481333333334,0.077,0.039612188,,
693,139,2022-08-30 13:41:18 Z,A,52.47836316666667,13.419485666666667,0.290,0.14918876,,
694,139,2022-08-30 13:41:19 Z,A,52.47836516666667,13.419487166666666,0.199,0.10237435600000001,,
695,140,2022-08-30 13:41:20 Z,A,52.478367,13.419491666666667,0.225,0.1157499,,
696,140,2022-08-30 13:41:21 Z,A,52.47837416666667,13.419494,0.248,0.127582112,,
697,140,2022-08-30 13:41:22 Z,A,52.478381,13.4194985,0.136,0.069964384,,
698,140,2022-08-30 13:41:23 Z,A,52.47838566666667,13.419507166666667,0.212,0.109062128,,
699,140,2022-08-30 13:41:24 Z,A,52.478389166666666,13.419508,0.533,0.27419865200000004,,
700,141,2022-08-30 13:41:25 Z,A,52.47838983333333,13.419505833333334,0.320,0.16462208,,
701,141,2022-08-30 13:41:26 Z,A,52.47840016666667,13.419508333333333,0.784,0.403324096,,
702,141,2022-08-30 13:41:27 Z,A,52.47840516666667,13.419509,0.876,0.450652944,,
703,141,2022-08-30 13:41:28 Z,A,52.478405333333335,13.419507,0.322,0.165650968,,
704,141,2022-08-30 13:41:29 Z,A,52.47841066666667,13.4195075,0.541,0.278314204,,
705,142,2022-08-30 13:41:30 Z,A,52.478415,13.4195215,0.230,0.11832212,,
706,142,2022-08-30 13:41:31 Z,A,52.4784245,13.419522166666667,1.154,0.593668376,,
707,142,2022-08-30 13:41:32 Z,A,52.47842816666667,13.419524666666666,1.072,0.551483968,,
708,142,2022-08-30 13:41:33 Z,A,52.47843133333333,13.419528333333334,1.187,0.6106450280000001,,
709,142,2022-08-30 13:41:34 Z,A,52.478438,13.419532833333333,0.874,0.449624056,,
710,143,2022-08-30 13:41:35 Z,A,52.47842266666667,13.419527666666667,0.290,0.14918876,,
711,143,2022-08-30 13:41:36 Z,A,52.47843016666667,13.419529666666667,0.795,0.40898298000000005,,
712,143,2022-08-30 13:41:37 Z,A,52.47844033333333,13.4195295,1.476,0.759319344,,
713,143,2022-08-30 13:41:38 Z,A,52.47843533333333,13.419524666666666,0.377,0.193945388,,
714,143,2022-08-30 13:41:39 Z,A,52.4784395,13.419525333333333,0.721,0.370914124,,
715,144,2022-08-30 13:41:40 Z,A,52.478425,13.419527666666667,0.426,0.219153144,,
716,144,2022-08-30 13:41:41 Z,A,52.47842,13.419528333333334,1.065,0.54788286,,
717,144,2022-08-30 13:41:42 Z,A,52.47841783333333,13.419528333333334,0.194,0.099802136,,
718,144,2022-08-30 13:41:43 Z,A,52.478418,13.419529,0.441,0.226869804,,
719,144,2022-08-30 13:41:44 Z,A,52.47842166666667,13.419527,0.210,0.10803324,,
720,145,2022-08-30 13:41:45 Z,A,52.478425333333334,13.419526666666666,0.399,0.205263156,,
721,145,2022-08-30 13:41:46 Z,A,52.478435833333336,13.4195285,0.276,0.14198654400000002,,
722,145,2022-08-30 13:41:47 Z,A,52.47844333333333,13.419536833333334,0.237,0.121923228,,
723,145,2022-08-30 13:41:48 Z,A,52.478443666666664,13.4195415,0.557,0.28654530800000005,,
724,145,2022-08-30 13:41:49 Z,A,52.47843866666667,13.4195525,1.580,0.8128215200000001,,
725,146,2022-08-30 13:41:50 Z,A,52.47843616666667,13.419558,0.678,0.34879303200000006,,
726,146,2022-08-30 13:41:51 Z,A,52.4784275,13.419562166666667,1.519,0.781440436,,
727,146,2022-08-30 13:41:52 Z,A,52.4784245,13.419559,0.447,0.229956468,,
728,146,2022-08-30 13:41:53 Z,A,52.4784285,13.419567833333334,0.449,0.230985356,,
729,146,2022-08-30 13:41:54 Z,A,52.4784275,13.419578,0.708,0.364226352,,
730,147,2022-08-30 13:41:55 Z,A,52.47842083333333,13.419586333333333,1.496,0.7696082240000001,,
731,147,2022-08-30 13:41:56 Z,A,52.47843066666667,13.419593,0.527,0.271111988,,
