mvid,llid,dt,warning,lat,lng,spd_knots,spd_ms,bearing,mag_var
142,28,2022-10-27 11:19:23 Z,A,49.50159216666667,5.9437495,1.897,0.9759002680000001,,
143,28,2022-10-27 11:19:24 Z,A,49.501599,5.943725333333333,2.484,1.277878896,300.69,
144,28,2022-10-27 11:19:25 Z,A,49.5016,5.943714333333333,2.058,1.058725752,305.65,
145,29,2022-10-27 11:19:26 Z,A,49.50160233333333,5.943695666666667,2.360,1.21408784,308.56,
146,29,2022-10-27 11:19:27 Z,A,49.501606,5.9436789999999995,2.505,1.2886822199999999,311.97,
147,29,2022-10-27 11:19:28 Z,A,49.501601666666666,5.943665666666667,1.889,0.971784716,,
148,29,2022-10-27 11:19:29 Z,A,49.50160366666667,5.9436525,1.876,0.965096944,,
149,29,2022-10-27 11:19:30 Z,A,49.5016105,5.943637333333333,1.914,0.984645816,315.10,
150,30,2022-10-27 11:19:31 Z,A,49.50160983333333,5.943617833333334,2.416,1.242896704,303.04,
151,30,2022-10-27 11:19:32 Z,A,49.50161716666667,5.9435955,2.998,1.5423031120000001,297.00,
152,30,2022-10-27 11:19:33 Z,A,49.5016145,5.9435736666666665,3.025,1.5561931,300.44,
153,30,2022-10-27 11:19:34 Z,A,49.501612333333334,5.943556333333333,1.978,1.017570232,300.15,
154,30,2022-10-27 11:19:35 Z,A,49.5016135,5.943542,1.576,0.8107637440000001,,
155,31,2022-10-27 11:19:36 Z,A,49.501617,5.943517,1.863,0.958409172,,
156,31,2022-10-27 11:19:37 Z,A,49.501620833333334,5.943499833333333,1.447,0.744400468,,
157,31,2022-10-27 11:19:38 Z,A,49.5016265,5.943484,1.637,0.842144828,,
158,31,2022-10-27 11:19:39 Z,A,49.50163516666667,5.9434645,2.085,1.07261574,,
159,31,2022-10-27 11:19:40 Z,A,49.5016455,5.943444333333334,2.274,1.1698456560000001,307.87,
160,32,2022-10-27 11:19:41 Z,A,49.501637333333335,5.9434285,1.686,0.867352584,,
161,32,2022-10-27 11:19:42 Z,A,49.501630666666664,5.943414,1.491,0.767036004,,
162,32,2022-10-27 11:19:43 Z,A,49.501638666666665,5.943400166666667,1.264,0.650257216,,
163,32,2022-10-27 11:19:44 Z,A,49.501631333333336,5.943397333333333,0.392,0.201662048,,
164,32,2022-10-27 11:19:45 Z,A,49.501627666666664,5.9433913333333335,0.196,0.100831024,,
165,33,2022-10-27 11:19:46 Z,A,49.501626333333334,5.943386,0.278,0.14301543200000003,,
166,33,2022-10-27 11:19:47 Z,A,49.501626333333334,5.943367833333333,0.984,0.506212896,,
167,33,2022-10-27 11:19:48 Z,A,49.50164816666667,5.943339833333333,1.905,0.98001582,,
168,33,2022-10-27 11:19:49 Z,A,49.501652,5.9433155,2.507,1.289711108,,
169,33,2022-10-27 11:19:50 Z,A,49.501658,5.943295833333333,2.302,1.184250088,,
170,34,2022-10-27 11:19:51 Z,A,49.5016595,5.943276166666667,1.879,0.966640276,,
171,34,2022-10-27 11:19:52 Z,A,49.5016575,5.943268166666667,2.023,1.040720212,299.75,
172,34,2022-10-27 11:19:53 Z,A,49.501653166666664,5.9432525,2.021,1.039691324,,
173,34,2022-10-27 11:19:54 Z,A,49.5016495,5.943232833333333,2.079,1.069529076,291.76,
174,34,2022-10-27 11:19:55 Z,A,49.501650833333336,5.943210666666666,1.873,0.963553612,288.09,
175,35,2022-10-27 11:19:56 Z,A,49.50164983333333,5.943188666666667,1.971,1.0139691240000002,293.33,
176,35,2022-10-27 11:19:57 Z,A,49.50165633333334,5.943157833333333,2.648,1.362247712,293.65,
177,35,2022-10-27 11:19:58 Z,A,49.501662,5.943141166666667,2.362,1.2151167280000001,297.88,
178,35,2022-10-27 11:19:59 Z,A,49.50168566666667,5.943102166666667,3.377,1.7372773879999999,304.93,
179,35,2022-10-27 11:20:00 Z,A,49.501714166666666,5.943069666666666,3.465,1.78254846,312.44,
180,36,2022-10-27 11:20:01 Z,A,49.50172366666666,5.943053333333333,2.868,1.475425392,320.55,
181,36,2022-10-27 11:20:02 Z,A,49.5017275,5.943037333333333,1.767,0.9090225479999999,,
182,36,2022-10-27 11:20:03 Z,A,49.50173016666667,5.9430225,1.624,0.8354570560000001,,
183,36,2022-10-27 11:20:04 Z,A,49.501745,5.942996166666667,2.442,1.2562722480000001,320.78,
184,36,2022-10-27 11:20:05 Z,A,49.5017605,5.9429688333333335,2.274,1.1698456560000001,317.77,
185,37,2022-10-27 11:20:06 Z,A,49.50177083333333,5.942940666666667,2.551,1.312346644,316.46,
186,37,2022-10-27 11:20:07 Z,A,49.501782166666665,5.942915833333333,2.212,1.1379501280000002,317.25,
187,37,2022-10-27 11:20:08 Z,A,49.50178483333333,5.9428835,2.240,1.15235456,309.94,
188,37,2022-10-27 11:20:09 Z,A,49.50178983333333,5.942849833333334,2.470,1.2706766800000002,301.08,
189,37,2022-10-27 11:20:10 Z,A,49.50179883333333,5.942832,1.562,0.803561528,,
190,38,2022-10-27 11:20:11 Z,A,49.501799,5.942800666666667,1.170,0.6018994799999999,,
191,38,2022-10-27 11:20:12 Z,A,49.5017975,5.942779,0.403,0.207320932,,
192,38,2022-10-27 11:20:13 Z,A,49.50181366666666,5.9427605,0.575,0.2958053,,
193,38,2022-10-27 11:20:14 Z,A,49.501818,5.9427465,1.129,0.580807276,,
194,38,2022-10-27 11:20:15 Z,A,49.501829,5.942715166666667,1.984,1.020656896,306.94,
195,39,2022-10-27 11:20:16 Z,A,49.50184466666666,5.9426905,1.907,0.981044708,316.64,
196,39,2022-10-27 11:20:17 Z,A,49.5018595,5.942677166666667,1.546,0.7953304240000001,330.44,
197,39,2022-10-27 11:20:18 Z,A,49.501873,5.942652833333334,2.024,1.041234656,336.34,
198,39,2022-10-27 11:20:19 Z,A,49.5018845,5.942637833333333,1.476,0.759319344,342.55,
199,39,2022-10-27 11:20:20 Z,A,49.501902666666666,5.942630833333333,0.308,0.158448752,,
200,40,2022-10-27 11:20:21 Z,A,49.501915333333336,5.9426326666666665,0.626,0.322041944,,
201,40,2022-10-27 11:20:22 Z,A,49.501911,5.942631,0.435,0.22378314,,
202,40,2022-10-27 11:20:23 Z,A,49.50192666666667,5.94263,0.148,0.076137712,,
203,40,2022-10-27 11:20:24 Z,A,49.50193733333333,5.9426198333333335,1.004,0.516501776,336.66,
204,40,2022-10-27 11:20:25 Z,A,49.5019415,5.942612333333333,1.166,0.599841704,343.17,
205,41,2022-10-27 11:20:26 Z,A,49.50194283333333,5.9425945,1.712,0.880728128,324.07,
206,41,2022-10-27 11:20:27 Z,A,49.50194283333333,5.942583666666667,1.890,0.9722991599999999,315.77,
207,41,2022-10-27 11:20:28 Z,A,49.501946333333336,5.942569,2.332,1.199683408,311.88,
208,41,2022-10-27 11:20:29 Z,A,49.501942666666665,5.942559166666666,2.388,1.228492272,304.15,
209,41,2022-10-27 11:20:30 Z,A,49.50193766666667,5.942551,2.465,1.26810446,297.63,
210,42,2022-10-27 11:20:31 Z,A,49.50193183333333,5.942545,2.271,1.168302324,294.65,
211,42,2022-10-27 11:20:32 Z,A,49.5019175,5.942551666666667,1.142,0.587495048,,
