fid,rid,time,lat,lng,_count,_sum,_mean,_median,_stdev,_min,_max
"1628","1627",11:39:44.000,49.504581117000001,5.937141283300000,977.000000000000000,5123.114807128907159,5.243720375771654,5.199096679687500,2.669530133763782,1.000488281250000,11.894989013671877
"1629","1628",11:39:45.000,49.504568767000002,5.937136333300000,996.000000000000000,5260.189941406250000,5.281315202215112,5.272155761718750,2.668794691163013,1.000488281250000,11.894989013671877
"1630","1629",11:39:46.000,49.504556217000001,5.937130066700000,1018.000000000000000,5434.595397949218750,5.338502355549332,5.322463989257812,2.698990413291855,1.000488281250000,11.894989013671877
"1631","1630",11:39:47.000,49.504542616999998,5.937121416700000,1043.000000000000000,5655.772247314453125,5.422600428872918,5.476104736328126,2.761137136951011,1.000488281250000,13.541748046875000
"1632","1631",11:39:48.000,49.504528716999999,5.937111983300000,1066.000000000000000,5841.235046386718750,5.479582595109492,5.548538208007812,2.804773563805073,1.000488281250000,13.762573242187500
"1633","1632",11:39:49.000,49.504517333000003,5.937105683300000,1084.000000000000000,5988.179779052734375,5.524151087687026,5.614028930664062,2.835921739621825,1.000488281250000,13.762573242187500
"1634","1633",11:39:50.000,49.504506732999999,5.937100083300000,1101.000000000000000,6106.183654785156250,5.546034200531478,5.626922607421876,2.835639564889233,1.000488281250000,13.762573242187500
"1635","1634",11:39:51.000,49.504494317000002,5.937094233300000,1119.000000000000000,6198.015594482421875,5.538887930726026,5.607574462890626,2.820724307684605,1.000488281250000,13.762573242187500
"1636","1635",11:39:52.000,49.504481067000000,5.937088166700000,1142.000000000000000,6288.623107910156250,5.506675225840768,5.545822143554688,2.809126411844944,1.000488281250000,13.762573242187500
"1637","1636",11:39:53.000,49.504468383000003,5.937084083300000,1168.000000000000000,6376.812561035156250,5.459599795406812,5.472167968750000,2.805302327638900,1.000488281250000,13.762573242187500
"1638","1637",11:39:54.000,49.504456183000002,5.937080150000000,1189.000000000000000,6456.588287353515625,5.430267693316666,5.443817138671876,2.797939632749745,1.000488281250000,13.762573242187500
"1639","1638",11:39:55.000,49.504444417000002,5.937074866700000,1211.000000000000000,6532.492492675781250,5.394296030285534,5.324188232421876,2.790691791631873,1.000488281250000,13.762573242187500
"1640","1639",11:39:56.000,49.504430300000003,5.937068150000000,1244.000000000000000,6659.401153564453125,5.353216361386218,5.286560058593750,2.775693263179702,1.000488281250000,13.762573242187500
"1641","1640",11:39:57.000,49.504417316999998,5.937063216700000,1273.000000000000000,6795.730438232420966,5.338358553206930,5.270019531250000,2.756448927714775,1.000488281250000,13.762573242187500
"1642","1641",11:39:58.000,49.504405732999999,5.937057433300000,1302.000000000000000,6951.534545898437500,5.339120234945036,5.238647460937500,2.740304249153159,1.000488281250000,13.762573242187500
"1643","1642",11:39:59.000,49.504391949999999,5.937052150000000,1335.000000000000000,7125.803955078124091,5.337680865227060,5.236541748046876,2.735165024551339,1.000488281250000,13.762573242187500
"1644","1643",11:40:00.000,49.504378416999998,5.937045516700000,1366.000000000000000,7321.055847167967841,5.359484514764254,5.270812988281250,2.744387701910275,1.000488281250000,13.762573242187500
"1645","1644",11:40:01.000,49.504364883000001,5.937037616700000,1398.000000000000000,7498.032226562500000,5.363399303692776,5.238647460937500,2.742845334599471,1.000488281250000,13.762573242187500
"1646","1645",11:40:02.000,49.504349183000002,5.937029500000000,1435.000000000000000,7681.241912841796875,5.352781820795678,5.176086425781250,2.724050119294411,1.000488281250000,13.762573242187500
"1647","1646",11:40:03.000,49.504332716999997,5.937022533300000,1471.000000000000000,7825.877960205078125,5.320107382872250,5.130065917968750,2.703815753507246,1.000488281250000,13.762573242187500
"1648","1647",11:40:04.000,49.504318032999997,5.937016616700000,1502.000000000000000,7933.789672851562500,5.282150248236726,5.055908203125000,2.691709496235287,1.000488281250000,13.762573242187500
"1649","1648",11:40:05.000,49.504304167000001,5.937010816700000,1517.000000000000000,7955.427856445311591,5.244184480188078,5.018096923828126,2.699329742978389,1.000488281250000,13.762573242187500
"1650","1649",11:40:06.000,49.504289317000001,5.937002933300000,1516.000000000000000,7914.809204101562500,5.220850398483880,4.995605468750000,2.707383065374427,1.000488281250000,13.762573242187500
"1651","1650",11:40:07.000,49.504275466999999,5.936996366700000,1503.000000000000000,7854.368255615234375,5.225793915911666,4.998016357421876,2.708724702104032,1.000488281250000,13.762573242187500
"1652","1651",11:40:08.000,49.504261182999997,5.936988083300000,1490.000000000000000,7782.465179443359375,5.223130992915006,4.989654541015626,2.710076638437765,1.000488281250000,13.762573242187500
"1653","1652",11:40:09.000,49.504247532999997,5.936978816700000,1480.000000000000000,7731.874877929686591,5.224239782384924,4.989654541015626,2.714571487133552,1.000488281250000,13.762573242187500
"1654","1653",11:40:10.000,49.504236067000001,5.936968633300000,1476.000000000000000,7707.582702636718750,5.221939500431382,4.981170654296876,2.718881972509848,1.000488281250000,13.762573242187500
"1655","1654",11:40:11.000,49.504222933000001,5.936957050000000,1486.000000000000000,7718.856536865233466,5.194385287257898,4.941040039062500,2.722942299425775,1.000488281250000,13.762573242187500
"1656","1655",11:40:12.000,49.504209600000003,5.936947133300000,1500.000000000000000,7730.198059082031250,5.153465372721354,4.813598632812500,2.724363068572644,1.000488281250000,13.762573242187500
"1657","1656",11:40:13.000,49.504196432999997,5.936938633300000,1510.000000000000000,7727.479858398437500,5.117536330065192,4.736663818359376,2.723327439561394,1.000488281250000,13.762573242187500
"1658","1657",11:40:14.000,49.504183683000001,5.936931116700000,1528.000000000000000,7792.634429931640625,5.099891642625420,4.719223022460938,2.716040134054909,1.000488281250000,13.762573242187500
"1659","1658",11:40:15.000,49.504170367000000,5.936926016700000,1545.000000000000000,7879.531555175781250,5.100020424061994,4.734436035156250,2.701630977673617,1.000488281250000,13.762573242187500
"1660","1659",11:40:16.000,49.504155482999998,5.936921866700000,1552.000000000000000,7969.236602783203125,5.134817398700518,4.795440673828126,2.673672534157261,1.000488281250000,13.762573242187500
"1661","1660",11:40:17.000,49.504141816999997,5.936915166700000,1562.000000000000000,8039.936981201171875,5.147206774136474,4.804458618164062,2.653866876522160,1.000488281250000,13.762573242187500
"1662","1661",11:40:18.000,49.504129267000003,5.936908600000000,1562.000000000000000,8064.480926513671875,5.162919927345500,4.855010986328126,2.645174336692814,1.000488281250000,13.762573242187500
"1663","1662",11:40:19.000,49.504118517000002,5.936903883300000,1568.000000000000000,8095.803985595703125,5.163140296936036,4.858581542968750,2.635994488428998,1.000488281250000,13.762573242187500
"1664","1663",11:40:20.000,49.504106983000000,5.936897366700000,1562.000000000000000,8070.468658447265625,5.166753302463040,4.879623413085938,2.633936067438724,1.000488281250000,13.762573242187500
"1665","1664",11:40:21.000,49.504096382999997,5.936890033300000,1559.000000000000000,8010.315490722656250,5.138111283337176,4.837707519531250,2.645545205717856,1.000488281250000,13.762573242187500
"1666","1665",11:40:22.000,49.504084216999999,5.936882050000000,1552.000000000000000,7908.702178955077216,5.095813259636004,4.759796142578126,2.655828894113636,1.000488281250000,13.762573242187500
"1667","1666",11:40:23.000,49.504072567000001,5.936872983300000,1524.000000000000000,7743.458526611328125,5.081009531897198,4.725891113281250,2.673524298499243,1.000488281250000,13.762573242187500
"1668","1667",11:40:24.000,49.504058567000001,5.936866016700000,1491.000000000000000,7555.793701171875000,5.067601409236670,4.646697998046876,2.690527186543638,1.000488281250000,13.762573242187500
"1669","1668",11:40:25.000,49.504044366999999,5.936862050000000,1463.000000000000000,7403.400421142578125,5.060424074601900,4.619750976562500,2.700003711864744,1.000488281250000,13.762573242187500
"1670","1669",11:40:26.000,49.504029432999999,5.936858866700000,1422.000000000000000,7189.213226318359375,5.055705503740056,4.589141845703126,2.715951284428199,1.000488281250000,13.762573242187500
"1671","1670",11:40:27.000,49.504015783000000,5.936850800000000,1397.000000000000000,7054.315093994140625,5.049617103789650,4.583465576171876,2.710205833571537,1.000488281250000,13.762573242187500
"1672","1671",11:40:28.000,49.504004266999999,5.936841600000000,1374.000000000000000,6922.823822021484375,5.038445285314036,4.583358764648438,2.695429944356593,1.000488281250000,13.762573242187500
"1673","1672",11:40:29.000,49.503994532999997,5.936830066700000,1357.000000000000000,6835.979003906250000,5.037567431028924,4.583465576171876,2.689065721517081,1.000488281250000,13.762573242187500
"1674","1673",11:40:30.000,49.503987082999998,5.936814950000000,1334.000000000000000,6679.535125732421875,5.007147770414110,4.563812255859376,2.688580506914835,1.000488281250000,13.762573242187500
"1675","1674",11:40:31.000,49.503978549999999,5.936795266700000,1310.000000000000000,6536.240203857422784,4.989496338822460,4.525329589843750,2.687720931104023,1.000488281250000,13.762573242187500
"1676","1675",11:40:32.000,49.503969933000000,5.936774166700000,1289.000000000000000,6395.961853027343750,4.961956441448678,4.483764648437500,2.675304349537325,1.000488281250000,13.762573242187500
"1677","1676",11:40:33.000,49.503961050000001,5.936753533300000,1264.000000000000000,6265.974792480468750,4.957258538354802,4.482925415039062,2.669775287208663,1.004150390625000,13.762573242187500
"1678","1677",11:40:34.000,49.503950383000003,5.936734550000000,1237.000000000000000,6121.977722167968750,4.949052321881948,4.466247558593750,2.679694922763250,1.004150390625000,13.762573242187500
"1679","1678",11:40:35.000,49.503938632999997,5.936719183300000,1202.000000000000000,5938.266723632811591,4.940321733471558,4.447219848632812,2.686719364409858,1.004150390625000,13.762573242187500
"1680","1679",11:40:36.000,49.503925082999999,5.936705850000000,1178.000000000000000,5812.636260986328125,4.934326197781264,4.447219848632812,2.669554285438084,1.004150390625000,13.762573242187500
"1681","1680",11:40:37.000,49.503911449999997,5.936695333300000,1162.000000000000000,5694.315948486328125,4.900444017630232,4.433471679687500,2.651483639141133,1.004150390625000,13.762573242187500
"1682","1681",11:40:38.000,49.503898116999999,5.936688416700000,1143.000000000000000,5556.657104492187500,4.861467283020288,4.423736572265625,2.628244889231734,1.004150390625000,13.762573242187500
"1683","1682",11:40:39.000,49.503884933000002,5.936684966700000,1121.000000000000000,5394.293640136718750,4.812037145527850,4.365905761718750,2.601747893740334,1.004150390625000,13.762573242187500
