rid,time,satnum,elev,azim,SNR
1480,11:37:16 Z,11,47,258,42
1480,11:37:16 Z,16,13,045,36
1480,11:37:16 Z,20,46,298,38
1480,11:37:16 Z,26,01,021,28
1480,11:37:16 Z,29,05,329,28
1480,11:37:16 Z,30,35,189,44
1481,11:37:17 Z,02,09,327,29
1481,11:37:17 Z,04,19,071,37
1481,11:37:17 Z,05,10,303,29
1481,11:37:17 Z,06,36,210,44
1481,11:37:17 Z,07,62,146,35
1481,11:37:17 Z,09,56,067,38
1481,11:37:17 Z,11,47,258,42
1481,11:37:17 Z,16,13,045,39
1481,11:37:17 Z,20,46,298,36
1481,11:37:17 Z,29,05,329,29
1481,11:37:17 Z,30,35,189,45
1482,11:37:18 Z,02,09,327,31
1482,11:37:18 Z,04,19,071,36
1482,11:37:18 Z,05,10,303,33
1482,11:37:18 Z,06,36,210,44
1482,11:37:18 Z,07,62,146,38
1482,11:37:18 Z,09,56,067,39
1482,11:37:18 Z,11,47,258,38
1482,11:37:18 Z,16,13,045,32
1482,11:37:18 Z,20,46,298,37
1482,11:37:18 Z,29,05,329,28
1482,11:37:18 Z,30,35,189,43
1482,11:37:18 Z,26,01,021,
1483,11:37:19 Z,02,09,327,30
1483,11:37:19 Z,04,19,071,39
1483,11:37:19 Z,06,36,210,44
1483,11:37:19 Z,07,62,146,36
1483,11:37:19 Z,09,56,067,41
1483,11:37:19 Z,11,47,258,41
1483,11:37:19 Z,16,13,045,36
1483,11:37:19 Z,20,46,298,39
1483,11:37:19 Z,30,35,189,45
1483,11:37:19 Z,26,01,021,
1484,11:37:20 Z,02,09,327,31
1484,11:37:20 Z,04,19,071,38
1484,11:37:20 Z,05,10,303,30
1484,11:37:20 Z,06,36,210,45
1484,11:37:20 Z,07,62,146,38
1484,11:37:20 Z,09,56,067,37
1484,11:37:20 Z,11,47,258,41
1484,11:37:20 Z,16,13,045,34
1484,11:37:20 Z,20,46,298,40
1484,11:37:20 Z,26,01,021,26
1484,11:37:20 Z,29,05,329,30
1484,11:37:20 Z,30,35,189,44
1485,11:37:21 Z,02,09,327,30
1485,11:37:21 Z,04,19,071,33
1485,11:37:21 Z,05,10,303,30
1485,11:37:21 Z,06,36,210,43
1485,11:37:21 Z,07,62,146,37
1485,11:37:21 Z,09,56,067,37
1485,11:37:21 Z,11,47,258,43
1485,11:37:21 Z,16,13,045,35
1485,11:37:21 Z,20,46,298,37
1485,11:37:21 Z,30,35,189,43
1486,11:37:22 Z,04,19,071,36
1486,11:37:22 Z,05,10,303,31
1486,11:37:22 Z,06,36,210,45
1486,11:37:22 Z,07,62,146,38
1486,11:37:22 Z,09,56,067,37
1486,11:37:22 Z,11,47,258,42
1486,11:37:22 Z,16,13,045,34
1486,11:37:22 Z,20,46,298,34
1486,11:37:22 Z,30,35,189,45
1486,11:37:22 Z,26,01,021,
1486,11:37:22 Z,29,05,329,
1487,11:37:23 Z,02,09,327,30
1487,11:37:23 Z,04,19,071,37
1487,11:37:23 Z,05,10,303,37
1487,11:37:23 Z,06,36,210,45
1487,11:37:23 Z,07,62,146,37
1487,11:37:23 Z,09,56,067,44
1487,11:37:23 Z,11,47,258,38
1487,11:37:23 Z,16,13,045,33
1487,11:37:23 Z,20,46,298,33
1487,11:37:23 Z,29,05,329,29
1487,11:37:23 Z,30,35,189,43
1487,11:37:23 Z,26,01,021,
1488,11:37:24 Z,02,09,327,27
1488,11:37:24 Z,04,19,071,38
1488,11:37:24 Z,05,10,303,37
1488,11:37:24 Z,06,36,210,43
1488,11:37:24 Z,07,62,146,35
1488,11:37:24 Z,09,56,067,43
1488,11:37:24 Z,11,47,258,37
1488,11:37:24 Z,16,13,045,34
1488,11:37:24 Z,20,46,298,34
1488,11:37:24 Z,29,05,329,28
1488,11:37:24 Z,30,35,189,41
1488,11:37:24 Z,26,01,021,
1489,11:37:25 Z,04,19,071,38
1489,11:37:25 Z,05,10,303,38
1489,11:37:25 Z,06,36,210,44
1489,11:37:25 Z,07,62,146,35
1489,11:37:25 Z,09,56,067,43
1489,11:37:25 Z,11,47,258,38
1489,11:37:25 Z,16,13,045,31
1489,11:37:25 Z,20,46,298,39
1489,11:37:25 Z,29,05,329,31
1489,11:37:25 Z,30,35,189,42
1489,11:37:25 Z,26,01,021,
1490,11:37:26 Z,02,09,327,26
1490,11:37:26 Z,04,19,071,38
1490,11:37:26 Z,05,10,303,34
1490,11:37:26 Z,06,36,210,43
1490,11:37:26 Z,07,62,146,40
1490,11:37:26 Z,09,56,067,41
1490,11:37:26 Z,11,47,258,38
1490,11:37:26 Z,20,46,298,38
1490,11:37:26 Z,29,05,329,26
1490,11:37:26 Z,30,35,189,35
1490,11:37:26 Z,26,01,021,
1491,11:37:27 Z,05,10,303,28
1491,11:37:27 Z,06,36,210,45
1491,11:37:27 Z,07,62,146,36
1491,11:37:27 Z,09,56,067,36
1491,11:37:27 Z,11,47,258,41
1491,11:37:27 Z,16,13,045,30
1491,11:37:27 Z,20,46,298,42
1491,11:37:27 Z,30,35,189,41
1491,11:37:27 Z,26,01,019,
1492,11:37:28 Z,04,19,071,33
1492,11:37:28 Z,06,36,210,45
1492,11:37:28 Z,07,62,146,39
1492,11:37:28 Z,09,56,067,37
1492,11:37:28 Z,11,47,258,43
1492,11:37:28 Z,16,13,045,32
1492,11:37:28 Z,20,46,298,41
1492,11:37:28 Z,30,35,189,41
1492,11:37:28 Z,02,09,327,
1492,11:37:28 Z,26,01,019,
1492,11:37:28 Z,29,05,329,
1493,11:37:29 Z,04,19,071,38
1493,11:37:29 Z,05,10,303,36
1493,11:37:29 Z,06,36,210,45
1493,11:37:29 Z,07,62,146,39
1493,11:37:29 Z,09,56,067,34
1493,11:37:29 Z,11,47,258,43
1493,11:37:29 Z,16,13,045,30
1493,11:37:29 Z,20,46,298,42
1493,11:37:29 Z,30,35,189,40
1493,11:37:29 Z,02,09,327,
1493,11:37:29 Z,26,01,019,
1493,11:37:29 Z,29,05,329,
1494,11:37:30 Z,02,09,327,30
1494,11:37:30 Z,04,19,071,33
1494,11:37:30 Z,05,10,303,33
1494,11:37:30 Z,06,36,210,45
1494,11:37:30 Z,07,62,146,40
1494,11:37:30 Z,09,56,067,36
1494,11:37:30 Z,11,47,258,38
1494,11:37:30 Z,20,46,298,43
1494,11:37:30 Z,29,05,329,30
1494,11:37:30 Z,30,35,189,40
1494,11:37:30 Z,26,01,019,
1495,11:37:31 Z,02,09,327,34
