svid,llid,satsys,satnum,elev,azim,SNR
90,0,GLN,70,28,050,
91,0,GLN,86,57,188,
92,0,GLN,73,00,000,
93,0,GLN,79,10,008,
94,0,GLN,88,03,331,
95,0,GLN,87,47,316,
96,0,GLN,71,76,001,
97,0,GLN,72,42,247,
98,0,GPS,01,31,142,
99,0,GPS,03,59,073,
100,0,GPS,04,69,170,
101,0,GPS,06,29,307,
102,0,GPS,09,36,210,
103,0,GPS,12,00,000,
104,0,GLN,70,28,050,
105,0,GLN,86,57,188,
106,0,GLN,73,00,000,
107,0,GLN,79,10,008,
108,0,GLN,88,03,331,
109,0,GLN,87,47,316,
110,0,GLN,71,76,001,
111,0,GLN,72,42,247,
112,0,GPS,01,31,142,
113,0,GPS,03,59,073,
114,0,GPS,04,69,170,
115,0,GPS,06,29,307,
116,0,GPS,09,36,210,
117,0,GPS,12,00,000,
118,0,GLN,70,28,050,
119,0,GLN,86,57,188,
120,0,GLN,73,00,000,
121,0,GLN,79,10,008,
122,0,GLN,88,03,331,
123,0,GLN,87,47,316,
124,0,GLN,71,76,001,
125,0,GLN,72,42,247,
126,0,GPS,01,31,142,
127,0,GPS,03,59,073,
128,0,GPS,04,69,170,
129,0,GPS,06,29,307,
130,0,GPS,09,36,210,
131,0,GPS,12,00,000,
132,0,GLN,70,28,050,
133,0,GLN,86,57,188,
134,0,GLN,73,00,000,
135,0,GLN,79,10,008,
136,0,GLN,88,03,331,
137,0,GLN,87,47,316,
138,0,GLN,71,76,001,
139,0,GLN,72,42,247,
140,0,GPS,01,31,142,
141,0,GPS,03,59,073,
142,0,GPS,04,69,170,
143,0,GPS,06,29,307,
144,0,GPS,09,36,210,
145,0,GPS,12,00,000,
146,0,GLN,70,28,050,
147,0,GLN,86,57,188,
148,0,GLN,73,00,000,
149,0,GLN,79,10,008,
150,0,GLN,88,03,331,
151,0,GLN,87,47,316,
152,0,GLN,71,76,001,
153,0,GLN,72,42,247,
154,0,GPS,01,31,142,
155,0,GPS,03,59,073,
156,0,GPS,04,69,170,
157,0,GPS,06,29,307,
158,0,GPS,09,36,210,
159,0,GPS,12,00,000,
160,0,GLN,70,28,050,
161,0,GLN,86,57,188,
162,0,GLN,73,00,000,
163,0,GLN,79,10,008,
164,0,GLN,88,03,331,
165,0,GLN,87,47,316,
166,0,GLN,71,76,001,
167,0,GLN,72,42,247,
168,0,GPS,01,31,142,
169,0,GPS,03,59,073,
170,0,GPS,04,69,170,
171,0,GPS,06,29,307,
172,0,GPS,09,36,210,
173,0,GPS,12,00,000,
174,0,GLN,70,28,050,
175,0,GLN,86,57,188,
176,0,GLN,73,00,000,
177,0,GLN,79,10,008,
178,0,GLN,88,03,331,
179,0,GLN,87,47,316,
180,0,GLN,71,76,001,
181,0,GLN,72,42,247,
182,0,GPS,01,31,142,
183,0,GPS,03,59,073,
184,0,GPS,04,69,170,
185,0,GPS,06,29,307,
186,0,GPS,09,36,210,
187,0,GPS,12,00,000,
188,0,GLN,70,28,050,
189,0,GLN,86,57,188,
190,0,GLN,73,00,000,
191,0,GLN,79,10,008,
192,0,GLN,88,03,331,
193,0,GLN,87,47,316,
194,0,GLN,71,76,001,
195,0,GLN,72,42,247,
196,0,GPS,01,31,142,
197,0,GPS,03,59,073,
198,0,GPS,04,69,170,
199,0,GPS,06,29,307,
200,0,GPS,09,36,210,
201,0,GPS,12,00,000,
202,0,GLN,70,28,050,
203,0,GLN,86,57,188,
204,0,GLN,73,00,000,
205,0,GLN,79,10,008,
206,0,GLN,88,03,331,
207,0,GLN,87,47,316,
208,0,GLN,71,76,001,
209,0,GLN,72,42,247,
210,0,GPS,01,31,142,
211,0,GPS,03,59,073,
212,0,GPS,04,69,170,
213,0,GPS,06,29,307,
214,0,GPS,09,36,210,
215,0,GPS,12,00,000,
216,0,GLN,70,28,050,
217,0,GLN,86,57,188,
218,0,GLN,73,00,000,
219,0,GLN,79,10,008,
