rid,time,lat,lng
55,133:41:9 Z,52.479614,13.422458666666667
56,133:42:4 Z,52.47965533333333,13.4224465
57,133:42:9 Z,52.479708333333335,13.422444166666667
58,133:43:4 Z,52.479701666666664,13.422440166666666
59,133:43:9 Z,52.479683,13.422448166666667
60,133:44:4 Z,52.479667666666664,13.422452166666666
61,133:44:9 Z,52.479652333333334,13.422456833333333
62,133:45:4 Z,52.479623833333335,13.422464833333333
63,133:45:9 Z,52.479617166666664,13.4224645
64,133:50:4 Z,52.47961183333334,13.422465166666667
65,133:50:9 Z,52.4796,13.4224685
66,133:51:4 Z,52.479602166666666,13.422470833333334
67,133:51:9 Z,52.479602,13.42248
68,133:52:4 Z,52.479604333333334,13.422476
69,133:52:9 Z,52.479600833333336,13.422477
70,133:53:4 Z,52.47957533333334,13.422483
71,133:53:9 Z,52.47956966666667,13.4224875
72,133:54:4 Z,52.47956166666667,13.422510833333334
73,133:54:9 Z,52.4795845,13.422502666666666
74,133:55:4 Z,52.47956816666667,13.422499166666666
75,133:55:9 Z,52.47961733333333,13.422477166666667
76,133:60:4 Z,52.479653166666665,13.422414166666666
77,133:60:9 Z,52.479664166666666,13.422337166666667
78,133:61:4 Z,52.47967216666667,13.422220666666666
79,133:61:9 Z,52.47970983333333,13.422103333333334
80,133:62:4 Z,52.479739,13.422011166666667
81,133:62:9 Z,52.479743666666664,13.421910166666667
82,133:63:4 Z,52.47971183333333,13.4218375
83,133:63:9 Z,52.47973666666667,13.4217355
84,133:64:4 Z,52.4797195,13.421722
85,133:64:9 Z,52.47952516666667,13.421778166666666
86,133:65:4 Z,52.4793485,13.421792
87,133:65:9 Z,52.47915033333334,13.421832166666666
88,133:70:4 Z,52.47894616666667,13.421783833333333
89,133:70:9 Z,52.478864333333334,13.421725833333333
90,133:71:4 Z,52.478764,13.4217305
91,133:71:9 Z,52.4786035,13.421701166666667
92,133:72:4 Z,52.478469833333335,13.421714333333334
93,133:72:9 Z,52.47827983333333,13.421799166666666
94,133:73:4 Z,52.478135,13.421832833333333
95,133:73:9 Z,52.4780445,13.421865166666667
96,133:74:4 Z,52.47792,13.421916333333334
97,133:74:9 Z,52.47782933333333,13.4219845
98,133:75:4 Z,52.477750666666665,13.422032833333333
99,133:75:9 Z,52.47771783333334,13.422103166666666
100,133:80:4 Z,52.477672,13.422105666666667
101,133:80:9 Z,52.477599833333336,13.422048833333333
102,133:81:4 Z,52.4775195,13.422058166666666
103,133:81:9 Z,52.477440333333334,13.421947333333334
104,133:82:4 Z,52.4773625,13.421839
105,133:82:9 Z,52.477293833333334,13.421719833333333
106,133:83:4 Z,52.477210166666666,13.421568
107,133:83:9 Z,52.47715683333333,13.421392166666667
108,133:84:4 Z,52.4771015,13.421261666666666
109,133:84:9 Z,52.4770345,13.421186
110,133:85:4 Z,52.477006833333334,13.4211295
111,133:85:9 Z,52.476959,13.420847666666667
112,133:90:4 Z,52.47694333333333,13.420748666666666
113,133:90:9 Z,52.476949833333336,13.420673833333334
114,133:91:4 Z,52.47693316666667,13.4206165
115,133:91:9 Z,52.4769285,13.420519833333334
116,133:92:4 Z,52.4769595,13.420432
117,133:92:9 Z,52.476956666666666,13.420395
118,133:93:4 Z,52.476920166666666,13.420378
119,133:93:9 Z,52.476923,13.420334
120,133:94:4 Z,52.476956,13.420265666666667
121,133:94:9 Z,52.47697016666667,13.420209666666667
122,133:95:4 Z,52.477068833333334,13.420162333333334
123,133:95:9 Z,52.47726016666667,13.4200295
124,134:00:4 Z,52.477382166666665,13.419951333333334
125,134:00:9 Z,52.47752283333333,13.4198495
126,134:01:4 Z,52.477683,13.4197835
127,134:01:9 Z,52.477744666666666,13.419763
128,134:02:4 Z,52.477866166666665,13.419679666666667
129,134:02:9 Z,52.47797083333333,13.4196365
130,134:03:4 Z,52.47807316666667,13.4195935
131,134:03:9 Z,52.478201,13.419551666666667
132,134:04:4 Z,52.478274,13.419517833333334
133,134:04:9 Z,52.4782945,13.4195185
134,134:05:4 Z,52.47830366666667,13.419527
135,134:05:9 Z,52.47829733333333,13.4195365
136,134:10:4 Z,52.478312833333334,13.4195155
137,134:10:9 Z,52.47834116666667,13.419501
138,134:11:4 Z,52.47835166666667,13.419482
139,134:11:9 Z,52.47836516666667,13.419487166666666
140,134:12:4 Z,52.478389166666666,13.419508
141,134:12:9 Z,52.47841066666667,13.4195075
142,134:13:4 Z,52.478438,13.419532833333333
143,134:13:9 Z,52.4784395,13.419525333333333
144,134:14:4 Z,52.47842166666667,13.419527
145,134:14:9 Z,52.47843866666667,13.4195525
146,134:15:4 Z,52.4784275,13.419578
147,134:15:9 Z,52.47845433333333,13.419600333333333
148,134:20:4 Z,52.47844666666667,13.419596
149,134:20:9 Z,52.47843783333333,13.419600333333333
150,134:21:4 Z,52.478440666666664,13.419589333333333
151,134:21:9 Z,52.47844083333333,13.419599333333334
152,134:22:4 Z,52.47843483333333,13.419621833333334
153,134:22:9 Z,52.47844666666667,13.4196165
154,134:23:4 Z,52.4784415,13.419621333333334
155,134:23:9 Z,52.478454,13.419632166666666
156,134:24:4 Z,52.478458833333335,13.419657
157,134:24:9 Z,52.478464833333334,13.419651833333333
158,134:25:4 Z,52.478453333333334,13.4196325
159,134:25:9 Z,52.47842266666667,13.419605666666667
160,134:30:4 Z,52.47841183333333,13.4196095
161,134:30:9 Z,52.47838,13.419583
162,134:31:4 Z,52.47836366666667,13.419594333333333
163,134:31:9 Z,52.47836566666667,13.419604833333333
164,134:32:4 Z,52.4783705,13.419611333333334
165,134:32:9 Z,52.478375166666666,13.419612333333333
166,134:33:4 Z,52.4783775,13.419600166666667
167,134:33:9 Z,52.478392166666666,13.419639
168,134:34:4 Z,52.4783975,13.4196795
169,134:34:9 Z,52.47841016666667,13.4196935
170,134:35:4 Z,52.478411,13.4197105
171,134:35:9 Z,52.478407833333335,13.419703666666667
172,134:40:4 Z,52.478413833333335,13.419706166666666
173,134:40:9 Z,52.478395666666664,13.4197255
174,134:41:4 Z,52.478384,13.41976
175,134:41:9 Z,52.47837116666667,13.419766
176,134:42:4 Z,52.478369,13.419800833333333
177,134:42:9 Z,52.4783935,13.419839333333334
178,134:43:4 Z,52.47838516666667,13.4198905
179,134:43:9 Z,52.478395166666665,13.419864833333333
180,134:44:4 Z,52.478416833333334,13.419794333333334
181,134:44:9 Z,52.47842166666667,13.419784833333333
182,134:45:4 Z,52.478431666666665,13.419800833333333
183,134:45:9 Z,52.478440666666664,13.4197815
184,134:50:4 Z,52.47840633333333,13.419755833333333
185,134:50:9 Z,52.478405,13.419744333333334
186,134:51:4 Z,52.478404166666664,13.419738666666667
187,134:51:9 Z,52.47838866666667,13.4197545
188,134:52:4 Z,52.478388833333334,13.419751333333334
189,134:52:9 Z,52.478399,13.4197155
190,134:53:4 Z,52.47840266666667,13.419673333333334
191,134:53:9 Z,52.4784015,13.419638166666667
192,134:54:4 Z,52.47839833333333,13.419613833333333
193,134:54:9 Z,52.47841,13.419580166666666
194,134:55:4 Z,52.47843183333333,13.419564333333334
195,134:55:9 Z,52.4784535,13.419558833333333
196,134:60:4 Z,52.4784855,13.419550166666667
197,134:60:9 Z,52.47849466666667,13.419548
198,134:61:4 Z,52.47850583333334,13.4195825
199,134:61:9 Z,52.47851,13.419602166666667
200,134:62:4 Z,52.47850366666667,13.4195935
201,134:62:9 Z,52.478495333333335,13.419614833333334
202,134:63:4 Z,52.478495333333335,13.419616833333333
203,134:63:9 Z,52.47848466666667,13.419619833333334
204,134:64:4 Z,52.4784825,13.419615666666667
205,134:64:9 Z,52.47848033333333,13.419651666666667
206,134:65:4 Z,52.478486833333335,13.419701333333334
207,134:65:9 Z,52.47849333333333,13.419760833333333
208,134:70:4 Z,52.47850233333333,13.419751833333333
209,134:70:9 Z,52.47850833333333,13.419740000000001
210,134:71:4 Z,52.47849083333333,13.419737166666666
211,134:71:9 Z,52.47849183333334,13.419721
212,134:72:4 Z,52.4785005,13.419721
213,134:72:9 Z,52.47850533333333,13.419717333333333
214,134:73:4 Z,52.47849183333334,13.419726
215,134:73:9 Z,52.47847433333333,13.4197245
216,134:74:4 Z,52.478455333333336,13.419686333333333
217,134:74:9 Z,52.478399,13.4196915
218,134:75:4 Z,52.478233,13.4196255
219,134:75:9 Z,52.47815766666667,13.4196355
220,134:80:4 Z,52.478058833333336,13.4196315
221,134:80:9 Z,52.4780055,13.419662166666667
222,134:81:4 Z,52.4779765,13.419774333333333
223,134:81:9 Z,52.4779235,13.419861333333333
224,134:82:4 Z,52.477832666666664,13.419928
225,134:82:9 Z,52.477704333333335,13.420021333333333
226,134:83:4 Z,52.477526,13.420204833333333
227,134:83:9 Z,52.47741083333333,13.420190999999999
228,134:84:4 Z,52.4773085,13.420148333333334
229,134:84:9 Z,52.47725883333333,13.4201635
230,134:85:4 Z,52.47722916666667,13.420175166666667
231,134:85:9 Z,52.47720666666667,13.420139666666667
232,134:90:4 Z,52.4771585,13.420120833333334
233,134:90:9 Z,52.47713683333333,13.420105833333333
234,134:91:4 Z,52.4771055,13.4200825
235,134:91:9 Z,52.47710216666667,13.420074833333333
236,134:92:4 Z,52.4770845,13.420063833333334
237,134:92:9 Z,52.477048333333336,13.420051
238,134:93:4 Z,52.477019166666665,13.420037833333334
239,134:93:9 Z,52.4770005,13.420029666666666
240,134:94:4 Z,52.47699316666667,13.420009666666667
241,134:94:9 Z,52.47699566666667,13.419995166666666
242,134:95:4 Z,52.476988166666665,13.420002333333333
243,134:95:9 Z,52.4770075,13.420002833333333
244,135:00:4 Z,52.4770035,13.420034666666666
245,135:00:9 Z,52.47699933333333,13.420054
246,135:01:4 Z,52.476971666666664,13.420066666666667
247,135:01:9 Z,52.4769445,13.420088333333334
248,135:02:4 Z,52.4769085,13.4200615
249,135:02:9 Z,52.47687583333333,13.420069333333334
250,135:03:4 Z,52.476867,13.420089333333333
251,135:03:9 Z,52.476863333333334,13.420135333333333
252,135:04:4 Z,52.4768695,13.420178666666667
253,135:04:9 Z,52.4768625,13.4201935
254,135:05:4 Z,52.47685283333333,13.420196333333333
255,135:05:9 Z,52.476857,13.420188833333333
256,135:05:9 Z,52.476857,13.420188833333333
257,135:10:4 Z,52.47687416666667,13.420178333333332
258,135:10:9 Z,52.47688566666667,13.420175
259,135:11:4 Z,52.476878666666664,13.4201725
260,135:11:9 Z,52.476891333333334,13.4201775
261,135:12:4 Z,52.47690466666667,13.420184166666667
262,135:12:9 Z,52.47692933333333,13.420195166666666
263,135:13:4 Z,52.47695516666667,13.420217333333333
264,135:13:9 Z,52.47696933333334,13.420234833333334
265,135:14:4 Z,52.476989833333334,13.420248333333333
266,135:14:9 Z,52.477021666666666,13.420233666666666
267,135:15:4 Z,52.477036,13.420216666666667
268,135:15:9 Z,52.476976666666665,13.420226166666666
269,135:20:4 Z,52.47692883333333,13.420261
270,135:20:9 Z,52.476916833333334,13.420263333333333
271,135:21:4 Z,52.47693,13.420246666666667
272,135:21:9 Z,52.476894333333334,13.420278166666666
273,135:22:4 Z,52.47688016666667,13.420298666666667
274,135:22:9 Z,52.476878166666665,13.4203085
275,135:23:4 Z,52.47686983333333,13.420348166666667
276,135:23:9 Z,52.476875166666666,13.4203755
277,135:24:4 Z,52.476882,13.420389333333333
278,135:24:9 Z,52.47690266666667,13.420384
279,135:25:4 Z,52.476916333333335,13.420370666666667
280,135:25:9 Z,52.4769425,13.420361333333334
281,135:30:4 Z,52.47696033333333,13.42034
282,135:30:9 Z,52.4769795,13.420335
283,135:31:4 Z,52.476984333333334,13.420335833333333
