rid,date,time,lat,lng
1176,2022-08-30,15:07:04 Z,52.46748633333333,13.410977333333333
1177,2022-08-30,15:07:09 Z,52.467488,13.4109785
1178,2022-08-30,15:07:14 Z,52.46748933333333,13.410980166666667
1179,2022-08-30,15:07:19 Z,52.46749033333333,13.410978
1180,2022-08-30,15:07:24 Z,52.4674905,13.410976833333333
1181,2022-08-30,15:07:29 Z,52.467490166666664,13.410975333333333
1182,2022-08-30,15:07:34 Z,52.46748933333333,13.410971
1183,2022-08-30,15:07:39 Z,52.46748933333333,13.410968666666667
1184,2022-08-30,15:07:44 Z,52.467488833333334,13.410969
1185,2022-08-30,15:07:49 Z,52.46748866666667,13.410968666666667
1186,2022-08-30,15:07:54 Z,52.46748916666667,13.41097
1187,2022-08-30,15:07:59 Z,52.46749,13.4109675
1188,2022-08-30,15:08:04 Z,52.46749033333333,13.410966833333333
1189,2022-08-30,15:08:09 Z,52.4674895,13.410966166666666
1190,2022-08-30,15:08:14 Z,52.467489666666665,13.410965000000001
1191,2022-08-30,15:08:19 Z,52.467489666666665,13.410962
1192,2022-08-30,15:08:19 Z,52.467489666666665,13.410962
1193,2022-08-30,15:08:24 Z,52.46748916666667,13.410959333333333
1194,2022-08-30,15:08:29 Z,52.467489,13.410960666666666
1195,2022-08-30,15:08:34 Z,52.467489,13.410960333333334
1196,2022-08-30,15:08:39 Z,52.4674905,13.410962666666666
1197,2022-08-30,15:08:44 Z,52.467490166666664,13.410964166666666
1198,2022-08-30,15:08:49 Z,52.46748983333333,13.410968333333333
1199,2022-08-30,15:08:54 Z,52.46749,13.410968833333333
1200,2022-08-30,15:08:59 Z,52.4674905,13.410968333333333
1201,2022-08-30,15:09:04 Z,52.467491,13.410969666666666
1202,2022-08-30,15:09:09 Z,52.467491,13.410971833333333
1203,2022-08-30,15:09:09 Z,52.467491,13.410971833333333
1204,2022-08-30,15:09:14 Z,52.4674905,13.410972833333334
1205,2022-08-30,15:09:19 Z,52.46749033333333,13.410975
1206,2022-08-30,15:09:24 Z,52.467490166666664,13.4109755
1207,2022-08-30,15:09:29 Z,52.46748983333333,13.410977166666667
1208,2022-08-30,15:09:34 Z,52.467490833333336,13.410980333333333
1209,2022-08-30,15:09:39 Z,52.467492,13.410983
1210,2022-08-30,15:09:44 Z,52.4674925,13.410985166666666
1211,2022-08-30,15:09:49 Z,52.46749233333333,13.410983833333333
1212,2022-08-30,15:09:54 Z,52.46749233333333,13.410983
1213,2022-08-30,15:09:59 Z,52.46749233333333,13.410983666666667
1214,2022-08-30,15:10:04 Z,52.467491,13.4109825
1215,2022-08-30,15:10:09 Z,52.467489,13.410982666666667
1216,2022-08-30,15:10:14 Z,52.467489,13.410983166666666
1217,2022-08-30,15:10:19 Z,52.46749,13.4109815
1218,2022-08-30,15:10:24 Z,52.467490833333336,13.410980333333333
1219,2022-08-30,15:10:29 Z,52.467491833333334,13.410978666666667
1220,2022-08-30,15:10:34 Z,52.46749233333333,13.4109805
1221,2022-08-30,15:10:39 Z,52.46749283333333,13.410982833333334
1222,2022-08-30,15:10:44 Z,52.4674925,13.410985833333333
1223,2022-08-30,15:10:49 Z,52.467492666666665,13.410986333333334
1224,2022-08-30,15:10:54 Z,52.467493,13.410986333333334
1225,2022-08-30,15:10:59 Z,52.4674945,13.410984333333333
1226,2022-08-30,15:11:04 Z,52.4674945,13.4109825
1227,2022-08-30,15:11:09 Z,52.467493833333336,13.410979666666666
1228,2022-08-30,15:11:14 Z,52.4674925,13.410978833333333
1229,2022-08-30,15:11:19 Z,52.46749166666667,13.410979833333334
1230,2022-08-30,15:11:24 Z,52.467492,13.410979
1231,2022-08-30,15:11:29 Z,52.467491833333334,13.410975833333334
1232,2022-08-30,15:11:34 Z,52.46749283333333,13.4109755
1233,2022-08-30,15:11:39 Z,52.467493833333336,13.410974833333333
1234,2022-08-30,15:11:44 Z,52.467496,13.410977166666667
1235,2022-08-30,15:11:49 Z,52.467496833333335,13.410979166666667
1236,2022-08-30,15:11:54 Z,52.467495666666665,13.4109805
1237,2022-08-30,15:11:59 Z,52.4674955,13.410974333333334
1238,2022-08-30,15:12:04 Z,52.467495166666666,13.4109715
1239,2022-08-30,15:12:09 Z,52.467493833333336,13.410970666666667
1240,2022-08-30,15:12:14 Z,52.467493,13.410971166666666
1241,2022-08-30,15:12:19 Z,52.46749283333333,13.410973
1242,2022-08-30,15:12:24 Z,52.46749366666667,13.4109755
1243,2022-08-30,15:12:29 Z,52.46749416666667,13.4109795
1244,2022-08-30,15:12:34 Z,52.46749416666667,13.410980666666667
1245,2022-08-30,15:12:39 Z,52.46749483333333,13.410985333333333
1246,2022-08-30,15:12:44 Z,52.467493166666664,13.410983333333334
1247,2022-08-30,15:12:49 Z,52.4674915,13.410979166666667
1248,2022-08-30,15:12:54 Z,52.467491333333335,13.4109705
1249,2022-08-30,15:12:59 Z,52.46749116666667,13.4109675
1250,2022-08-30,15:13:04 Z,52.467491,13.410965166666667
1251,2022-08-30,15:13:09 Z,52.4674905,13.410963666666667
1252,2022-08-30,15:13:14 Z,52.4674905,13.410963833333334
1253,2022-08-30,15:13:19 Z,52.467491333333335,13.410966
1254,2022-08-30,15:13:24 Z,52.467491833333334,13.410970166666667
1255,2022-08-30,15:13:29 Z,52.46749116666667,13.410970833333334
1256,2022-08-30,15:13:34 Z,52.46749116666667,13.410971833333333
1257,2022-08-30,15:13:39 Z,52.467491833333334,13.410969833333333
1258,2022-08-30,15:13:44 Z,52.46749116666667,13.410967
1259,2022-08-30,15:13:49 Z,52.46749116666667,13.410967166666667
1260,2022-08-30,15:13:54 Z,52.467491833333334,13.410968666666667
1261,2022-08-30,15:13:59 Z,52.46749166666667,13.410974666666666
1262,2022-08-30,15:14:04 Z,52.4674915,13.410979333333334
1263,2022-08-30,15:14:09 Z,52.467490833333336,13.410982333333333
1264,2022-08-30,15:14:14 Z,52.467488833333334,13.410985166666666
1265,2022-08-30,15:14:19 Z,52.467488,13.410984666666666
1266,2022-08-30,15:14:24 Z,52.46748816666667,13.410986166666667
1267,2022-08-30,15:14:29 Z,52.46748766666666,13.4109855
1268,2022-08-30,15:14:34 Z,52.467488,13.410986
1269,2022-08-30,15:14:39 Z,52.46748816666667,13.410982333333333
1270,2022-08-30,15:14:44 Z,52.46748783333334,13.410981166666666
1271,2022-08-30,15:14:49 Z,52.46748683333333,13.410981666666666
1272,2022-08-30,15:14:54 Z,52.467487166666665,13.410980333333333
1273,2022-08-30,15:14:59 Z,52.467488,13.410979
1274,2022-08-30,15:15:04 Z,52.46748866666667,13.410979166666667
1275,2022-08-30,15:15:09 Z,52.46748933333333,13.410979666666666
1276,2022-08-30,15:15:14 Z,52.467490166666664,13.4109815
1277,2022-08-30,15:15:19 Z,52.467490833333336,13.4109845
1278,2022-08-30,15:15:24 Z,52.467491833333334,13.410985333333333
1279,2022-08-30,15:15:29 Z,52.467491833333334,13.410984333333333
1280,2022-08-30,15:15:34 Z,52.467491333333335,13.410982666666667
1281,2022-08-30,15:15:39 Z,52.46749166666667,13.410982166666667
1282,2022-08-30,15:15:44 Z,52.46749166666667,13.4109805
1283,2022-08-30,15:15:49 Z,52.467491333333335,13.410980166666667
1284,2022-08-30,15:15:54 Z,52.467492,13.410981333333334
1285,2022-08-30,15:15:59 Z,52.467492,13.410983833333333
1286,2022-08-30,15:16:04 Z,52.467491833333334,13.410985
1287,2022-08-30,15:16:09 Z,52.46749233333333,13.4109855
1288,2022-08-30,15:16:14 Z,52.46749233333333,13.410987166666667
